"GEOID","crime_per_capita"
"080130121011",0.15159634216438
"080130121012",0.233426781869429
"080130121013",0.285606663507775
"080130121014",0.218435282131902
"080130121031",0.124433914217919
"080130121032",0.117011383276804
"080130121033",0.217718431147803
"080130121041",0.231201937312415
"080130121042",0.156925497257864
"080130121051",0.113660387503423
"080130121052",0.0324902253132214
"080130121053",0.110850599112403
"080130121054",0.13038276843317
"080130121061",0.321743974888429
"080130121062",0.196735080005131
"080130121071",0.305682561291733
"080130121072",0.150633715740626
"080130121073",0.190635880562875
"080130122011",0.563749893600248
"080130122012",0.216096946839322
"080130122013",0.221731750009118
"080130122041",0.253281424267765
"080130122042",0.438176323098403
"080130122043",0.68992669062809
"080130122051",0.24457127392688
"080130122052",0.235576355477972
"080130122061",0.404497300459818
"080130122062",0.257408795228867
"080130122071",0.55776861708723
"080130122072",0.11027365323341
"080130122073",0.205406867108898
"080130122081",0.227644646739001
"080130122082",0.135191701795741
"080130123001",0.0129963210402663
"080130123002",0.0620052998176788
"080130124011",0.766733838584019
"080130124012",0.4405627525012
"080130124013",0.187200767671062
"080130124014",1
"080130125011",0.205873235919759
"080130125012",0.272388717817356
"080130125051",0.540409055470507
"080130125052",0.132184691856759
"080130125053",0.258205915372166
"080130125071",0.242809057773676
"080130125072",0.189479080227179
"080130125073",0.2276184593683
"080130125081",0.36324602355558
"080130125082",0.4455025010702
"080130125083",0.159346664863546
"080130125091",0.525315585809189
"080130125092",0.0881022113730957
"080130125093",0.102185879586569
"080130125101",0.0872886439262236
"080130125102",0.0727128603340857
"080130125103",0.177391610427859
"080130125104",0.00113972439787253
"080130125111",0.476529028015645
"080130125112",0.198505132134898
"080130125113",0.00822671675623071
"080130126031",0.188849210017089
"080130126032",0.0877695940337128
"080130126033",0.231149749980063
"080130126051",0.00110186436193632
"080130126052",0.327342307574132
"080130126081",0.193475771046894
"080130126091",0.17635746072997
"080130126101",0.34552656707449
"080130126102",0.13187925206424
"080130126103",0.235594306938862
"080130127013",0.0558942815307492
"080130127014",0.165780315545929
"080130127051",0.0377999818690697
"080130127052",0.00297340937689254
"080130127053",0.0680043338648186
"080130127054",0
"080130127055",0.0265268367708243
"080130127071",1.03957786831712e-06
"080130127083",0.000228128285417067
"080130127084",0.0797073674977636
"080130127085",0.0576310715619711
"080130127102",0.0427250875787232
"080130132051",9.32719521971019e-05
"080130137043",0.016374114342012
"080130137044",0.0779730096659284
