"GEOID","perc_affordable"
"080130121011",0.00303770448061411
"080130121012",0.00957453690725206
"080130121013",0.0130976349034271
"080130121014",0.0900462399610611
"080130121031",0.00447945762242842
"080130121032",0.204989117373112
"080130121033",0.109957203686347
"080130121041",0.479752125262062
"080130121042",0.0607279588210511
"080130121051",0.669873400808364
"080130121052",0.192167448489966
"080130121053",0.024385579319334
"080130121054",0.0351225134972497
"080130121061",0.0844260418404846
"080130121062",0.194203716559309
"080130121071",0.90234236855879
"080130121072",0.0739781085189077
"080130121073",0.0059026966663438
"080130122011",0.352111848675322
"080130122012",0.0407286069977722
"080130122013",0.0135138308057948
"080130122041",0.803095853810989
"080130122042",0.17335766055462
"080130122043",0.323658365954084
"080130122051",0.0245746447286136
"080130122052",0.176225629377248
"080130122061",0.049025175089911
"080130122062",0.151138385083814
"080130122071",0.952901092293817
"080130122072",0.207528004438874
"080130122073",0.0786050706483616
"080130122081",1
"080130122082",0.0617100106026852
"080130123001",0.441226575809199
"080130123002",0.00242432184510549
"080130124011",0.00400205510938049
"080130124012",0.0838083998743731
"080130124013",0.00431517433554229
"080130124014",0.00319729402760289
"080130125011",0.0244864268325276
"080130125012",0.27352791415478
"080130125051",0.17218598080359
"080130125052",0.00149315254080947
"080130125053",0.0058634760904877
"080130125071",0.225573823372277
"080130125072",0.0128450240410247
"080130125073",0.00584406060674436
"080130125081",0.017649063032368
"080130125082",0.626054107565281
"080130125083",0.0049025175089911
"080130125091",0.0517399241991243
"080130125092",0.00466906429427724
"080130125093",0.00614949931441393
"080130125101",0.0073845452018276
"080130125102",0.00802230137834908
"080130125103",0.00919222032935832
"080130125104",0.0058634760904877
"080130125111",0.375201959202044
"080130125112",0.0414297254280938
"080130125113",0
"080130126031",0.00393952299829642
"080130126032",0.00393952299829642
"080130126033",0.032793867120954
"080130126051",0.00933812858855448
"080130126052",0.00289328902169967
"080130126081",0.168394729850116
"080130126091",0.00951431969399891
"080130126101",0.44327879244087
"080130126102",0.0134286349159322
"080130126103",0.0305251090182465
"080130127013",0.174185237474749
"080130127014",0.46071851289314
"080130127051",0.00534820091889939
"080130127052",0.00380367737766551
"080130127053",0.00747841653913897
"080130127054",0.00208864651270627
"080130127055",0.259626279349388
"080130127071",0.0882453151618399
"080130127083",0.00353688637923206
"080130127084",0.00798600137211221
"080130127085",0.00360921534404253
"080130127102",0.166337558566993
"080130132051",0.00299136661565559
"080130137043",0.00584406060674436
"080130137044",0.416938874388509
